127.0.0.1 - - [24/Mar/2023:13:51:47 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:05:20 +0900] "GET /JSPStudy/ch04/form_membership02.jsp?p_id=ddd&p_pw=ddd&p_name=ddd&choice=SKT&phone1=010&phone2=0101&phone3=0101&gender=on&hobby=%EB%8F%85%EC%84%9C&hobby=%EC%97%AC%ED%96%89&Introduction=%09%09%09fgfhgfhfghfh HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:05:44 +0900] "GET /JSPStudy/ch04/form_membership01.jsp HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:06:05 +0900] "GET /JSPStudy/ch04/form_membership02.jsp?p_id=dddd&p_pw=dddddd&p_name=ddddd&choice=LGU&phone1=010&phone2=0101&phone3=0101&gender=on&hobby=%EC%9A%B4%EB%8F%99&hobby=%EC%97%AC%ED%96%89&Introduction=%09%09dddd%09 HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:06:14 +0900] "GET /JSPStudy/ch04/form_membership01.jsp HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:06:59 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:07:29 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:07:29 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:07:29 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:07:29 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:08:14 +0900] "GET /JSPStudy/ch04/form_textarea.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:11:53 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:12:57 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:12:58 +0900] "GET /JSPStudy/ch04/form_membership01.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:13:00 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:13:00 +0900] "GET /JSPStudy/ch04/form_membership02.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:14:54 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:14:56 +0900] "GET /JSPStudy/ch04/form_membership01.jsp HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:15:11 +0900] "GET /JSPStudy/ch04/form_membership02.jsp?p_id=ddd&p_pw=ddd&p_name=ddd&choice=choice&phone1=010&phone2=0101&phone3=0101&gender=on&hobby=%EC%97%AC%ED%96%89&hobby=%EC%9D%8C%EC%95%85%EA%B0%90%EC%83%81&Introduction=ddddd HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:15:20 +0900] "GET /JSPStudy/ch04/form_membership02.jsp?p_id=ddd&p_pw=ddd&p_name=ddd&choice=choice&phone1=010&phone2=0101&phone3=0101&gender=on&hobby=%EC%97%AC%ED%96%89&hobby=%EC%9D%8C%EC%95%85%EA%B0%90%EC%83%81&Introduction=ddddd HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:15:25 +0900] "GET /JSPStudy/ch04/form_membership02.jsp?p_id=ddd&p_pw=ddd&p_name=ddd&choice=choice&phone1=010&phone2=0101&phone3=0101&gender=on&hobby=%EC%97%AC%ED%96%89&hobby=%EC%9D%8C%EC%95%85%EA%B0%90%EC%83%81&Introduction=ddddd HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:16:42 +0900] "GET /JSPStudy/ch04/form_membership02.jsp?p_id=ddd&p_pw=ddd&p_name=ddd&choice=choice&phone1=010&phone2=0101&phone3=0101&gender=on&hobby=%EC%97%AC%ED%96%89&hobby=%EC%9D%8C%EC%95%85%EA%B0%90%EC%83%81&Introduction=ddddd HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:16:45 +0900] "GET /JSPStudy/ch04/form_membership02.jsp?p_id=ddd&p_pw=ddd&p_name=ddd&choice=choice&phone1=010&phone2=0101&phone3=0101&gender=on&hobby=%EC%97%AC%ED%96%89&hobby=%EC%9D%8C%EC%95%85%EA%B0%90%EC%83%81&Introduction=ddddd HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:16:49 +0900] "GET /JSPStudy/List.jsp HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:16:51 +0900] "GET /JSPStudy/ch04/form_membership01.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [24/Mar/2023:16:17:00 +0900] "GET /JSPStudy/ch04/form_membership02.jsp?p_id=ddd&p_pw=ddd&p_name=dd&choice=choice&phone1=000&phone2=0000&phone3=0000&gender=%EC%97%AC%EC%84%B1&hobby=%EB%8F%85%EC%84%9C&Introduction=yyyy HTTP/1.1" 200 455
